date,chair_count,attendance_930,attendance_1100,percent_capacity_930,percent_capacity_1100,percent_distribution_930,percent_distribution_1100,total_attendance
1/3/21,235,0,0,,,,,
1/10/21,235,63,45,27,19,58,42,108
1/17/21,235,107,60,46,26,64,36,167
1/24/21,235,68,73,29,31,48,52,141
1/31/21,235,98,80,42,34,55,45,178
2/7/21,235,98,92,42,39,52,48,190
2/14/21,235,0,0,0,0,0,0,0
2/21/21,235,84,82,36,35,51,49,166
2/28/21,235,101,106,43,45,49,51,207
3/7/21,235,67,78,29,33,46,54,145
3/14/21,235,67,92,29,39,42,58,159
3/21/21,235,81,100,34,43,45,55,181
3/28/21,235,108,97,46,41,53,47,205
4/4/21,235,267,379,114,161,41,59,646
4/11/21,235,130,77,55,33,63,37,207
4/18/21,235,127,109,54,46,54,46,236
4/25/21,235,127,103,54,44,55,45,230
5/2/21,235,158,127,67,54,55,45,285
5/9/21,260,172,124,66,48,58,42,296
5/16/21,260,146,135,56,52,52,48,281
5/23/21,260,155,167,60,64,48,52,322
5/30/21,260,158,115,61,44,58,42,273
6/6/21,260,166,173,64,67,49,51,339
6/13/21,260,167,124,64,48,57,43,291
6/20/21,260,151,127,58,49,54,46,278
6/27/21,260,164,140,63,54,54,46,304
7/4/21,260,0,0,,,,,
7/11/21,260,194,176,75,68,52,48,370
7/18/21,346,198,340,57,98,37,63,538
7/25/21,346,207,191,60,55,52,48,398
8/1/21,346,184,182,53,53,50,50,366
8/8/21,346,153,173,44,50,47,53,326
8/15/21,346,172,197,50,57,47,53,369
8/22/21,346,154,201,45,58,43,57,355
8/29/21,346,150,201,43,58,43,57,351
9/5/21,346,165,176,48,51,48,52,341
9/12/21,346,168,190,49,55,47,53,358
9/19/21,346,196,194,57,56,50,50,390
9/26/21,346,192,176,55,51,52,48,368
10/3/21,346,182,188,53,54,49,51,370
10/10/21,346,176,167,51,48,51,49,343
10/17/21,346,161,170,47,49,49,51,331
10/24/21,346,180,151,52,44,54,46,331
10/31/21,346,182,185,53,53,50,50,367
11/7/21,346,168,165,49,48,50,50,333
11/14/21,346,167,126,48,36,57,43,293
11/21/21,346,175,167,51,48,51,49,342
11/28/21,346,185,176,53,51,51,49,361
12/5/21,346,169,195,49,56,46,54,364
12/12/21,346,171,182,49,53,48,52,353
12/19/21,346,176,201,51,58,47,53,377
12/24/21,400,1142,0,286,0,100,0,1142
1/2/22,346,0,0,,,,,
1/9/22,346,199,216,58,62,48,52,415
1/16/22,346,152,160,44,46,49,51,312
1/23/22,346,185,217,53,63,46,54,402
1/30/22,346,205,200,59,58,51,49,405
2/6/22,346,240,256,69,74,48,52,496
2/13/22,398,193,260,48,65,43,57,453
2/20/22,398,216,235,54,59,48,52,451
2/27/22,398,219,273,55,69,45,55,492
3/6/22,398,181,205,45,52,47,53,386
3/13/22,398,149,209,37,53,42,58,358
3/20/22,398,183,191,46,48,49,51,374
3/27/22,398,212,199,53,50,52,48,411
4/3/22,398,189,236,47,59,44,56,425
4/10/22,398,179,213,45,54,46,54,392
4/17/22,398,595,751,149,189,44,56,1346
4/24/22,398,168,218,42,55,44,56,386
5/1/22,398,198,174,50,44,53,47,372
5/8/22,398,233,234,59,59,50,50,467
5/15/22,398,196,214,49,54,48,52,410
5/22/22,398,207,219,52,55,49,51,426
5/29/22,398,0,0,,,,,
