video_id,title,published_at,initial_views,views_1_week_later,views_4_weeks_later,last_checked,avg_watch_time,avg_watch_duration
2,,1/3/21,,,,,,
ld7HSLqC7rQ,Nothing Else | Part 1: Focus,1/10/21,532,610,39,,,
4,,1/17/21,227,253,25,,,
5,,1/24/21,284,307,20,,,
6,,1/31/21,260,282,29,,,
7,,2/7/21,348,,532,,,
8,,2/14/21,284,,391,,,
9,,2/21/21,228,294,337,,,
10,,2/28/21,194,296,282,,23:46,
GYknDDYh8_s,Welcome Home | Part 1: What Happens After You Die?,3/7/21,284,414,347,,27:19:00,
12,,3/14/21,129,219,258,,26:17:00,
13,,3/21/21,123,236,258,,25:07:00,
14,,3/28/21,133,187,205,,32:28:00,
QKVkZdilNUQ,"Easter with You | Sunday, April 4",4/4/21,377,430,457,,25:28:00,
C_9fOrfPaS8,Story of Your Life | Part 1: What Story Will Your Life Tell?,4/11/21,207,323,381,,20:42,
17,,4/18/21,117,229,254,,27:07:00,
18,,4/25/21,134,214,232,,24:26:00,
19,,5/2/21,167,231,241,,15:47,
20,,5/9/21,109,186,221,,24:14:00,
21,,5/16/21,132,200,242,,25:08:00,
22,,5/23/21,141,263,282,,21:51,
23,,5/30/21,113,232,265,,15:37,
24,,6/6/21,78,164,180,,26:28:00,
25,,6/13/21,110,190,204,,23:27,
26,,6/20/21,132,195,102,,18:30,
27,,6/27/21,91,197,226,,19:16,
28,,7/4/21,,,,,,
29,,7/11/21,74,188,205,,19:42,
FQq9Py1JafA,Family Filters | Part 1: Instagram vs. Reality,7/18/21,107,247,287,,20:06,
31,,7/25/21,94,185,206,,22:45,
32,,8/1/21,123,224,254,,21:36,
33,,8/8/21,110,197,208,,27:40:00,
n4FwpH_WnkY,Level Up | Part 1: Activate Your Faith,8/15/21,118,217,259,,25:07:00,
35,,8/22/21,114,212,232,,23:07,
36,,8/29/21,143,212,232,,27:01:00,
37,,9/5/21,106,221,271,,25:11:00,
38,,9/12/21,118,192,217,,30:46:00,
KwfzZb9IzR8,"Retire Your Broken Thoughts | Remodeling Your Mind, Part 1",9/19/21,116,210,266,,22:11,
ixhj8XiFu_s,"Replace the Lies with Truth | Remodeling Your Mind, Part 2",9/26/21,128,359,410,,19:25,
41,,10/3/21,117,212,239,,25:21:00,
sMdHypmVDp0,"The Science of Generosity | The Paradox of Generosity, Part 1",10/10/21,98,171,204,,23:08,
43,,10/17/21,89,160,184,,25:35:00,
44,,10/24/21,104,166,173,,27:33:00,
45,,10/31/21,105,163,209,,27:58:00,
46,,11/7/21,101,203,234,,25:05:00,
47,,11/14/21,105,167,196,,30:27:00,
48,,11/21/21,84,135,160,,30:11:00,
49,,11/28/21,110,186,203,,24:42:00,
50,,12/5/21,121,234,261,,27:34:00,
51,,12/12/21,103,165,181,,32:16:00,
52,,12/19/21,105,173,210,,28:06:00,
SIpYIkCbRzw,Christmas Eve at Northpoint,12/24/21,120,280,307,,14:55,
54,,1/2/22,,,,,,
iRrx-1GMLc4,"How to Prevent Regret | No Regrets, Part 1",1/9/22,133,246,292,,28:41:00,
56,,1/16/22,123,225,233,,31:57:00,
m3cHtBDjJfo,"Be Known | No Regrets, Part 3",1/23/22,150,264,284,,28:47:00,
58,,1/30/22,120,226,237,,31:04:00,
bTKa_vFi-tc,"Praying Intentional Prayers | Prayer, Part 1",2/6/22,115,201,252,,35:55:00,
60,,2/13/22,145,217,265,,33:21:00,
61,,2/20/22,133,235,263,,27:42:00,
62,,2/27/22,122,231,282,,31:12:00,
P8zHUNCmD-A,"Tests, Trials, and Temptations | Prayer, Part 5",3/6/22,130,244,256,,27:53:00,
_yb5SeQcQFI,Restless,3/13/22,271,429,444,,11:12,
65,,3/20/22,136,218,354,,22:56,
66,,3/27/22,106,216,233,,27:17:00,
67,,4/3/22,121,203,212,,29:29:00,
68,,4/10/22,122,175,199,,33:46:00,
aeV0EsCX_aE,Easter: A Moment in History,4/17/22,259,443,467,,21:33,
