week_start,week_end,audience_name,audience_id,email_count,avg_open_rate,avg_click_rate
6/16/25,6/22/25,Northpoint Church,625faaf650,5,68.11,15.71
6/16/25,6/22/25,InsideOut Parents,5839e884af,1,49.45,1.53
6/16/25,6/22/25,Transit Parents,4d8c7861bc,2,51.52,1.49
6/16/25,6/22/25,Upstreet Parents,621229dee8,1,55.29,0.83
6/16/25,6/22/25,Waumba Land Parents,5bfb241f04,1,43.68,0.43
6/23/25,6/29/25,Northpoint Church,625faaf650,3,47.5,0.75
6/23/25,6/29/25,InsideOut Parents,5839e884af,0,0,0
6/23/25,6/29/25,Transit Parents,4d8c7861bc,0,0,0
6/23/25,6/29/25,Upstreet Parents,621229dee8,1,54.1,1.66
6/23/25,6/29/25,Waumba Land Parents,5bfb241f04,1,43.37,0
