date,attendance_930,attendance_1100,total_attendance,new_kids_930,new_kids_1100,total_new_kids,grade_6_male,grade_6_female,grade_7_male,grade_7_female,grade_8_male,grade_8_female,notes
1/3/21,,,,,,,,,,,,,
1/10/21,,,,,,,,,,,,,
1/17/21,,,,,,,,,,,,,
1/24/21,,,,,,,,,,,,,
1/31/21,,,,,,,,,,,,,
2/7/21,,,,,,0,,,,,,,
2/14/21,,,,,,0,,,,,,,
2/21/21,,,,,,0,,,,,,,
2/28/21,32,17,49,,,2,,,,,,,
3/7/21,,,,,,,,,,,,,
3/14/21,12,9,21,,,0,,,,,,,
3/21/21,23,12,35,,,3,,,,,,,
3/28/21,23,12,35,,,3,,,,,,,
4/4/21,20,5,25,,,,,,,,,,
4/11/21,19,12,31,,,,,,,,,,
4/18/21,25,22,47,,,,,,,,,,
4/25/21,26,22,48,,,,,,,,,,
5/2/21,22,24,46,,,,,,,,,,
5/9/21,23,18,41,,,,,,,,,,
5/16/21,26,24,50,,,,,,,,,,
5/23/21,28,20,48,,,,,,,,,,
5/30/21,,,,,,,,,,,,,
6/6/21,55,38,93,,,,,,,,,,
6/13/21,,,,,,,,,,,,,
6/20/21,,,,,,,,,,,,,
6/27/21,41,28,69,,,11,,,,,,,
7/4/21,,,,,,,,,,,,,
7/11/21,34,17,51,,,1,,,,,,,
7/18/21,36,46,82,,,6,,,,,,,
7/25/21,46,21,67,,,1,,,,,,,
8/1/21,36,,36,,,,,,,,,,
8/8/21,50,24,74,,,,,,,,,,
8/15/21,62,37,99,,,4,,,,,,,
8/22/21,49,43,92,,,,,,,,,,
8/29/21,36,37,73,,,,,,,,,,
9/5/21,43,29,72,,,,,,,,,,
9/12/21,47,27,74,,,1,,,,,,,
9/19/21,55,37,92,,,8,,,,,,,
9/26/21,47,32,79,,,,,,,,,,
10/3/21,43,34,77,,,4,,,,,,,
10/10/21,40,33,73,,,,,,,,,,
10/17/21,40,34,74,,,,,,,,,,
10/24/21,43,30,73,,,,,,,,,,
10/31/21,59,46,105,,,,,,,,,,
11/7/21,33,23,56,,,,,,,,,,
11/14/21,36,31,67,,,3,,,,,,,
11/21/21,35,27,62,,,,,,,,,,
11/28/21,40,20,60,,,2,,,,,,,
12/5/21,41,27,68,,,4,,,,,,,
12/12/21,45,27,72,,,,,,,,,,
12/19/21,47,20,67,,,,,,,,,,
12/26/21,,,,,,,,,,,,,
1/2/22,,,,,,,,,,,,,
1/9/22,38,42,80,,,,,,,,,,
1/16/22,42,24,66,,,,,,,,,,
1/23/22,42,35,77,,,,,,,,,,
1/30/22,38,36,74,,,,,,,,,,
2/6/22,58,48,106,,,,,,,,,,
2/13/22,,,,,,,,,,,,,
2/20/22,41,38,79,,,,,,,,,,
2/27/22,57,31,88,,,,,,,,,,
3/6/22,42,26,68,,,8,,,,,,,
3/13/22,17,24,41,,,4,,,,,,,
3/20/22,38,21,59,,,,,,,,,,
3/27/22,46,29,75,,,,,,,,,,
4/3/22,47,28,75,,,,,,,,,,
4/10/22,39,26,65,,,,,,,,,,
4/17/22,57,23,80,,,,,,,,,,
4/24/22,45,31,76,,,,,,,,,,
5/1/22,37,34,71,,,,,,,,,,
5/8/22,38,23,61,,,1,,,,,,,
5/15/22,57,43,100,,,,,,,,,,
5/22/22,50,24,74,,,,,,,,,,
5/29/22,,,,,,,,,,,,,
6/5/22,61,45,106,,,,,,,,,,
6/12/22,43,37,80,,,,,,,,,,
6/19/22,35,25,60,,,,,,,,,,
6/26/22,42,34,76,,,5,,,,,,,
7/3/22,35,26,61,,,,,,,,,,
7/10/22,41,39,80,,,4,,,,,,,
7/17/22,41,53,94,,,4,,,,,,,
7/24/22,36,56,92,,,3,,,,,,,
7/31/22,38,43,81,,,1,,,,,,,
8/7/22,43,40,83,,,4,,,,,,,
8/14/22,62,46,108,,,2,,,,,,,
8/21/22,56,50,106,,,4,,,,,,,
8/28/22,61,48,109,,,3,,,,,,,
9/4/22,43,44,87,,,,,,,,,,
9/11/22,60,60,120,,,6,,,,,,,
