date,attendance_930,attendance_1100,total_attendance,new_kids_930,new_kids_1100,total_new_kids,age_0_2_male,age_0_2_female,age_3_5_male,age_3_5_female,notes
1/3/21,,,,,,,,,,,
1/10/21,16,2,18,,,,,,,,
1/17/21,17,13,30,,,,,,,,
1/24/21,11,8,19,,,,,,,,
1/31/21,18,14,32,,,,,,,,
2/7/21,20,12,32,,,,,,,,
2/14/21,,,,,,,,,,,
2/21/21,16,14,30,,,,,,,,
2/28/21,14,17,31,,,,,,,,
3/7/21,14,12,26,1,1,,,,,,
3/14/21,14,16,30,,,,,,,,
3/21/21,18,13,31,,,,,,,,
3/28/21,25,15,40,2,1,,,,,,
4/4/21,,,,,,,,,,,
4/11/21,22,11,33,2,,,,,,,
4/18/21,29,11,40,3,,,,,,,
4/25/21,25,14,39,4,,,,,,,
5/2/21,32,19,51,2,1,,,,,,
5/9/21,34,22,56,,,,,,,,
5/16/21,19,23,42,,,,,,,,
5/23/21,27,24,51,,,,,,,,
5/30/21,29,16,45,,,3,,,,,
6/6/21,27,18,45,,,5,,,,,
6/13/21,33,16,49,,,10,,,,,
6/20/21,24,18,42,,,3,,,,,
6/27/21,31,14,45,,,0,,,,,
7/4/21,,,,,,,,,,,
7/11/21,31,18,49,,,6,,,,,
7/18/21,35,58,93,,,24,,,,,
7/25/21,35,23,58,,,6,,,,,
8/1/21,30,19,49,,,2,,,,,
8/8/21,24,22,46,,,2,,,,,
8/15/21,31,22,53,,,0,,,,,
8/22/21,22,27,49,,,3,,,,,
8/29/21,18,26,44,,,1,,,,,
9/5/21,27,25,52,,,3,,,,,
9/12/21,25,24,49,,,6,,,,,
9/19/21,31,40,71,,,1,,,,,
9/26/21,32,30,62,,,3,,,,,
10/3/21,37,26,63,,,1,,,,,
10/10/21,32,23,55,,,,,,,,
10/17/21,41,31,72,,,1,,,,,
10/24/21,33,26,59,,,0,,,,,
10/31/21,35,35,70,,,2,,,,,
11/7/21,35,22,57,,,7,,,,,
11/14/21,25,12,37,,,,,,,,
11/21/21,26,28,54,,,3,,,,,
11/28/21,33,16,49,,,1,,,,,
12/5/21,35,23,58,,,7,,,,,
12/12/21,27,25,52,,,0,,,,,
12/19/21,23,23,46,,,0,,,,,
12/26/21,,,,,,,,,,,
1/2/22,,,,,,,,,,,
1/9/22,28,32,60,3,2,5,,,,,
1/16/22,27,22,49,0,0,0,,,,,
1/23/22,20,26,46,1,1,2,,,,,
1/30/22,36,21,57,3,1,4,,,,,
2/6/22,45,29,74,6,1,7,,,,,
2/13/22,34,42,76,0,1,1,,,,,
2/20/22,40,38,78,0,4,4,,,,,
2/27/22,44,36,80,2,0,2,,,,,
3/6/22,39,29,68,5,0,5,,,,,
3/13/22,32,33,65,0,1,1,,,,,
3/20/22,32,27,59,1,1,2,,,,,
3/27/22,40,27,67,2,0,2,,,,,
4/3/22,39,37,76,2,0,2,,,,,
4/10/22,43,29,72,2,0,2,,,,,
4/17/22,70,73,143,13,9,22,,,,,
4/24/22,38,33,71,3,0,3,,,,,
5/1/22,39,32,71,4,1,5,,,,,
5/8/22,44,32,76,2,1,3,,,,,
5/15/22,34,33,67,1,1,2,,,,,
5/22/22,46,30,76,2,1,3,,,,,
5/29/22,,,,,,0,,,,,
6/5/22,35,19,54,2,1,3,,,,,
6/12/22,35,22,57,0,0,0,,,,,
6/19/22,41,25,66,0,1,1,,,,,
6/26/22,31,26,57,1,3,4,,,,,
7/3/22,24,29,53,1,2,3,,,,,
7/10/22,29,33,62,0,1,1,,,,,
7/17/22,33,44,77,2,6,8,,,,,
7/24/22,25,44,69,0,0,0,,,,,
7/31/22,39,21,60,6,1,7,,,,,
8/7/22,36,25,61,0,8,8,,,,,
8/14/22,47,31,78,,,0,,,,,
8/21/22,46,42,88,1,6,7,,,,,
8/28/22,44,31,75,3,3,6,,,,,
9/4/22,33,31,64,0,1,1,,,,,
9/11/22,42,37,79,1,1,2,,,,,
9/18/22,45,35,80,3,2,5,,,,,
9/25/22,50,32,82,1,1,2,,,,,
10/2/22,38,24,62,,,0,,,,,
10/9/22,41,21,62,,,0,,,,,
10/16/22,36,29,65,1,1,2,,,,,
10/23/22,42,32,74,1,1,2,,,,,
10/30/22,39,39,78,0,1,1,,,,,
11/6/22,40,27,67,1,1,2,,,,,
11/13/22,46,19,65,1,0,1,,,,,
11/20/22,33,22,55,0,0,0,,,,,
11/27/22,38,23,61,0,0,0,,,,,
12/4/22,41,23,64,1,1,2,,,,,
12/11/22,37,24,61,0,3,3,,,,,
12/18/22,30,21,51,0,0,0,,,,,
12/25/22,,,,,,,,,,,
1/1/23,,,,,,,,,,,
1/8/23,,8,81,45,,1,,,,,
1/15/23,,4,72,48,,0,,,,,
1/22/23,,8,86,46,,1,,,,,
1/29/23,,12,88,52,,0,,,,,
2/5/23,,10,82,46,,2,,,,,
2/12/23,,8,97,58,,2,,,,,
2/19/23,,11,75,40,,3,,,,,
2/26/23,,17,95,50,,3,,,,,
3/5/23,,11,83,42,,1,,,,,
3/12/23,,,67,35,,,,,,,
3/19/23,,11,62,34,,0,,,,,
3/26/23,,8,77,47,,0,,,,,
4/2/23,,7,66,40,,2,,,,,
4/9/23,,22,140,71,,9,,,,,
4/16/23,,4,69,43,,0,,,,,
4/23/23,,9,83,51,,4,,,,,
4/30/23,,8,83,61,,0,,,,,
5/7/23,,10,75,47,,2,,,,,
5/14/23,,11,86,54,,0,,,,,
5/21/23,,11,86,51,,2,,,,,
5/28/23,,,,,,,,,,,
6/4/23,,1,54,41,,0,,,,,
6/11/23,,4,79,48,,6,,,,,
6/18/23,,7,62,38,,3,,,,,
6/25/23,,0,68,42,,1,,,,,
7/2/23,,6,78,38,,3,,,,,
7/9/23,,5,61,36,,2,,,,,
7/16/23,,11,84,30,,8,,,,,
7/23/23,,7,85,50,,8,,,,,
7/30/23,,4,72,41,,,,,,,
8/6/23,,6,75,45,,2,,,,,
8/13/23,,4,78,52,,3,,,,,
8/20/23,,5,90,53,,,,,,,
8/27/23,,9,92,49,,,,,,,
9/3/23,,7,77,45,,,,,,,
9/10/23,,2,83,52,,5,,,,,
9/17/23,,4,85,45,,,,,,,
9/24/23,,5,86,50,,1,,,,,
10/1/23,,5,93,50,,1,,,,,
10/8/23,,4,76,46,,,,,,,
10/15/23,,5,74,36,,0,,,,,
10/22/23,,5,76,41,,0,,,,,
10/29/23,,7,95,60,,1,,,,,
11/5/23,,3,84,58,,3,,,,,
11/12/23,,4,77,49,,0,,,,,
11/19/23,,7,83,41,,2,,,,,
11/26/23,,7,73,41,,,,,,,
12/3/23,,5,83,51,,1,,,,,
12/10/23,,10,90,47,,2,,,,,
12/17/23,,4,74,41,,0,,,,,
12/24/23,,,,,,,,,,,
