week_start,week_end,avg_watch_duration,total_views,subscribers_gained,subscribers_lost,net_subscribers
12/27/20,1/3/21,,597,,,
1/3/21,1/10/21,,1027,,,7
1/10/21,1/17/21,,1096,,,6
1/17/21,1/24/21,,938,,,1
1/24/21,1/31/21,,983,,,4
1/31/21,2/7/21,,873,,,1
2/7/21,2/14/21,,1595,,,10
2/14/21,2/21/21,,949,,,6
2/21/21,2/28/21,,1022,,,8
2/28/21,3/7/21,,1061,,,3
3/7/21,3/14/21,,1427,,,2
3/14/21,3/21/21,,679,,,5
3/21/21,3/28/21,,758,,,1
3/28/21,4/4/21,,999,,,9
4/4/21,4/11/21,,845,,,1
4/11/21,4/18/21,,755,,,0
4/18/21,4/25/21,,787,,,10
4/25/21,5/2/21,,777,,,7
5/2/21,5/9/21,,643,,,4
5/9/21,5/16/21,,609,,,5
5/16/21,5/23/21,,723,,,2
5/23/21,5/30/21,,1422,,,9
5/30/21,6/6/21,,897,,,3
6/6/21,6/13/21,,598,,,7
6/13/21,6/20/21,,571,,,8
6/20/21,6/27/21,,457,,,1
6/27/21,7/4/21,,,,,0
7/4/21,7/11/21,,451,,,5
7/11/21,7/18/21,,774,,,4
7/18/21,7/25/21,,729,,,4
7/25/21,8/1/21,,510,,,7
8/1/21,8/8/21,,395,,,2
8/8/21,8/15/21,,551,,,3
8/15/21,8/22/21,,652,,,4
8/22/21,8/29/21,,608,,,2
8/29/21,9/5/21,,492,,,3
9/5/21,9/12/21,,513,,,4
9/12/21,9/19/21,,524,,,5
9/19/21,9/26/21,,547,,,4
9/26/21,10/3/21,,681,,,6
10/3/21,10/10/21,,588,,,6
10/10/21,10/17/21,,493,,,1
10/17/21,10/24/21,,584,,,6
10/24/21,10/31/21,,467,,,2
10/31/21,11/7/21,,433,,,-1
11/7/21,11/14/21,,488,,,3
11/14/21,11/21/21,,463,,,1
11/21/21,11/28/21,,445,,,4
11/28/21,12/5/21,,569,,,5
12/5/21,12/12/21,,495,,,0
12/12/21,12/19/21,,505,,,1
12/17/21,12/24/21,,503,,,5
12/26/21,1/2/22,,287,,,0
1/2/22,1/9/22,,503,,,3
1/9/22,1/16/22,,492,,,5
